"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Unit Test Generation Multi-Agent AI System for Enhancing Software Documentation and Code Coverage","D. Stojanović; B. Pavković; N. Četić; M. Krunić; L. Vidaković","Departmant of Computing and Control Engineering, Faculty of Technical Sciences, University of Novi Sad, Novi Sad, Serbia; Departmant of Computing and Control Engineering, Faculty of Technical Sciences, University of Novi Sad, Novi Sad, Serbia; Departmant of Computing and Control Engineering, Faculty of Technical Sciences, University of Novi Sad, Novi Sad, Serbia; LabSoft, Novi Sad, Serbia; LabSoft, Novi Sad, Serbia",2024 32nd Telecommunications Forum (TELFOR),"2 Jan 2025","2024","","","1","4","Software development necessitates a robust testing plan though test development can be laborious and nonappealing task. We explore the utilization of the application artificial intelligence agents for generating and executing unit tests, enhancing the “Mostly Basic Python Problems” dataset. We employ behavior-driven development within a three-agent system to generate user stories and unit tests. Empirical results indicate improvements in branch coverage, illustrating the effective utilization of large language models in software testing and development processes.","2994-5828","979-8-3503-9106-0","10.1109/TELFOR63250.2024.10819096","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10819096","AI agents;unit test generation;code generation;SW test automation;transformers;BDD","Software testing;Codes;Large language models;Documentation;Telecommunications;Test pattern generators;Software development management;Python","","1","","7","IEEE","2 Jan 2025","26-27 Nov. 2024","26-27 Nov. 2024","IEEE","IEEE Conferences"
"Addressing Data Leakage in HumanEval Using Combinatorial Test Design","J. S. Bradbury; R. More","Ontario Tech University, Oshawa, ON, Canada; Ontario Tech University, Oshawa, ON, Canada","2025 IEEE Conference on Software Testing, Verification and Validation (ICST)","20 May 2025","2025","","","587","591","The use of large language models (LLMs) is widespread across many domains, including Software Engineering, where they have been used to automate tasks such as program generation and test classification. As LLM-based methods continue to evolve, it is important that we define clear and robust methods that fairly evaluate performance. Benchmarks are a common approach to assess LLMs with respect to their ability to solve problem-specific tasks as well as assess different versions of an LLM to solve tasks over time. For example, the HumanEval benchmark is composed of 164 hand-crafted tasks and has become an important tool in assessing LLM-based program generation. However, a major barrier to a fair evaluation of LLMs using benchmarks like HumanEval is data contamination resulting from data leakage of benchmark tasks and solutions into the training data set. This barrier is compounded by the black-box nature of LLM training data which makes it difficult to even know if data leakage has occurred. To address the data leakage problem, we propose a new benchmark construction method where a benchmark is composed of template tasks that can be instantiated into new concrete tasks using combinatorial test design. Concrete tasks for the same template task must be different enough that data leakage has minimal impact and similar enough that the tasks are interchangeable with respect to performance evaluation. To assess our benchmark construction method, we propose HumanEval_T, an alternative benchmark to HumanEval that was constructed using template tasks and combinatorial test design.","2159-4848","979-8-3315-0814-2","10.1109/ICST62969.2025.10989022","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10989022","Large Language Models (LLMs);software engineering;benchmark;program generation;combinatorial testing;evaluation;fairness;template","Performance evaluation;Large language models;Combinatorial testing;Training data;Closed box;Benchmark testing;Contamination;Software engineering","","3","","22","IEEE","20 May 2025","31 March-4 April 2025","31 March-4 April 2025","IEEE","IEEE Conferences"
"LLM-Driven Smart Test Case Generation for Scalable Software Testing","K. Kanagaraj; D. Handa; K. K. Nikhil; S. Duvarakanath; S. M.","Department of Computer Science and Engineering, Amrita School of Computing, Bengaluru, India; Department of Computer Science and Engineering, Amrita School of Computing, Bengaluru, India; Department of Computer Science and Engineering, Amrita School of Computing, Bengaluru, India; Department of Computer Science and Engineering, Amrita School of Computing, Bengaluru, India; Department of Computer Science and Engineering, Amrita School of Computing, Bengaluru, India","2025 2nd International Conference on Software, Systems and Information Technology (SSITCON)","22 Jan 2026","2025","","","1","6","Software testing is vital to modern development; however, traditional test case generation remains limited by imprecision, heavy manual intervention, and a lack of scalability. This study proposes a robust framework that integrates Large Language Models (LLMs) with multi-agent systems to generate fully automated, end-to-end test cases. By combining Deep Learning with Chain-of-Thought reasoning, the framework intelligently analyzes back-end APIs and front-end UIs, producing context-aware and comprehensive test suites. The evaluation of the system demonstrated a high-test success rate of 91.6 % and an average code coverage of 85.3 % in diverse applications. This study offers a much greater degree of adaptability to new requirements with minimal intervention while maintaining high reliability and performance qualities. These facts make it attractive for enterprise environments, where it can speed up testing with much greater precision, scaling, and enterprise readiness. Hence, the framework stands for an end-to-end solution for next-generation regression automation.","","979-8-3315-2623-8","10.1109/SSITCON66133.2025.11342080","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11342080","LLM;Multi-Agent Systems;Testcase Generation;System Testing;CI/CD","Software testing;System testing;Codes;Automation;Manuals;Software systems;Software reliability;Stakeholders;Multi-agent systems;Software development management","","","","15","IEEE","22 Jan 2026","17-18 Oct. 2025","17-18 Oct. 2025","IEEE","IEEE Conferences"
"The GitHub Recent Bugs Dataset for Evaluating LLM-Based Debugging Applications","J. Y. Lee; S. Kang; J. Yoon; S. Yoo","KAIST, Daejeon, South Korea; KAIST, Daejeon, South Korea; KAIST, Daejeon, South Korea; KAIST, Daejeon, South Korea","2024 IEEE Conference on Software Testing, Verification and Validation (ICST)","27 Aug 2024","2024","","","442","444","While Large Language Models (LLMs) have demon-strated strong natural language and code processing capabilities, concern has been raised as to whether existing bug benchmarks are included in their training data. We examine the training data of the open-source LLM StarCoder, and find it likely that data from the widely used Defects4J benchmark was included, raising the possibility of its inclusion in the training data of the GPT model as well. This makes it difficult to tell how well LLM-based results on Defects4J would generalize, as for any results it would be unclear whether a technique's performance is due to LLM generalization or memorization. To remedy this issue and facilitate continued research on LLM-based SE, we present the GitHub Recent Bugs (GHRB) framework, which continuously gathers real-world Java bugs for use in evaluation of LLM-based techniques. To date, we have gathered 89 bugs reported after the GPT-3.5 training data cutoff point of September 2021.","2159-4848","979-8-3503-0818-1","10.1109/ICST60714.2024.00049","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10638568","Benchmark;Debugging;Machine Learning","Software testing;Java;Large language models;Computer bugs;Natural languages;Training data;Debugging","","12","","15","IEEE","27 Aug 2024","27-31 May 2024","27-31 May 2024","IEEE","IEEE Conferences"
"Software Unit Test Automation with LLM-Based Generative AI: Evaluating Test Quality through Code Coverage and Edge-Case Analysis","S. Genç; M. F. Ceylan; A. İstanbullu","Computer Engineering, Balıkesir University, Balıkesir, Türkiye; Computer Engineering, Balıkesir University, Balıkesir, Türkiye; Computer Engineering, Balıkesir University, Balıkesir, Türkiye",2025 10th International Conference on Computer Science and Engineering (UBMK),"24 Oct 2025","2025","","","242","247","Software unit testing is a critical verification step to ensure the correctness and reliability of software. However, manual writing of test cases is a time-consuming and error-prone process. This paper examines the integration of generative artificial intelligence models (LLM) into software test engineering and addresses automatic unit test generation. In the proposed method, test functions in pytest format are generated from the GPT-4 model using sample functions written in Python and these outputs are systematically evaluated. The validity of the tests is tested in terms of functional correctness by running them with pytest, and code coverage rates are measured with the coverage.py tool. Furthermore, the automatic generation of edge-case scenarios was analysed. The results show that the proposed method can produce tests with high accuracy and an average code coverage rate as high as 100%. At least one edge-case for each function was successfully tested. The results obtained show that generative artificial intelligence-based test generation can be integrated into software development processes and can significantly speed up and improve the accuracy of manual test writing. In this context, the study demonstrates that LLM-based test automation can be used as a productivity enhancing tool in software engineering and makes an original contribution to the literature.","2521-1641","979-8-3315-9975-1","10.1109/UBMK67458.2025.11206953","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11206953","Generative Artificial Intelligence;LLM (Large Language Models);Automated Unit Test Automation;Code Coverage;Edge-Case Analysis","Codes;Automation;Accuracy;Generative AI;Manuals;Writing;Software;Software reliability;Test pattern generators;Testing","","","","15","IEEE","24 Oct 2025","17-21 Sept. 2025","17-21 Sept. 2025","IEEE","IEEE Conferences"
"Static Analysis and LLM for Comprehensive Java Unit Test Generation","W. Wei","School of Computer Science and Technology, Beijing Institute of Technology, Beijing, China","2025 8th International Conference on Advanced Electronic Materials, Computers and Software Engineering (AEMCSE)","24 Jun 2025","2025","","","87","92","Software testing is crucial in ensuring the reliability and correctness of software applications. However, generating comprehensive test cases manually can be time-consuming and error-prone. This paper introduces SAGEN, a tool designed to automate Java unit test generation by leveraging static analysis of Syntax Trees (AST) and large language models (LLMs). SAGEN identifies literal values and their ranges, generating test cases that improve coverage and quality. In our experiments, SAGEN outperforms traditional test case generation tools such as EvoSuite and Randoop. It demonstrates a $10 \%$ improvement in code coverage and a $13 \%$ enhancement in test case quality. Furthermore, SAGEN achieves a compile pass rate of $89.7 \%$, proving its effectiveness in producing both high-quality and reliable test cases.","","979-8-3315-1091-6","10.1109/AEMCSE65292.2025.11042526","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11042526","software testing;Java unit testing;static analysis;LLM;test case generation","Software testing;Java;Large language models;Static analysis;Manuals;Syntactics;Software;Software reliability;Test pattern generators;Software engineering","","","","19","IEEE","24 Jun 2025","9-11 May 2025","9-11 May 2025","IEEE","IEEE Conferences"
"AI-Powered Unit Test Generation via Multi-LLM Chaining: A Case Study With GPT-4o, Gemini, and Claude-3.5","C. Kumar; U. Sri Ponaka; P. V. L. N. Naidu; P. Bhuvaneswari; M. Prasad; S. K. Singh","Amrita School of Computing, Amrita Vishwa Vidyapeetham, Amaravati Campus, Amaravati, India; Amrita School of Computing, Amrita Vishwa Vidyapeetham, Amaravati Campus, Amaravati, India; Amrita School of Computing, Amrita Vishwa Vidyapeetham, Amaravati Campus, Amaravati, India; Amrita School of Computing, Amrita Vishwa Vidyapeetham, Amaravati Campus, Amaravati, India; School of Computer Science, University of Technology Sydney, Sydney, Ultimo, NSW, Australia; Department of Computer Science and Engineering, Manipal Academy of Higher Education, Manipal Institute of Technology Bengaluru, Manipal, India",IEEE Access,"5 Dec 2025","2025","13","","204058","204071","Software testing is a crucial activity in the software development cycle, as it verifies code correctness, reliability, and maintainabilily. Unit testing involves verifying the correctness of the individual components of a program. Manually writing these tests is resource-intensive and time-consuming. Researchers have proposed various automated test generation methods to overcome this problem. Large Language Models have shown great success in automatically generating unit tests recently. Although a single LLM configuration can produce satisfactory responses, there are possible risks to the effectiveness of the generated tests. We present a novel method, LLM Chaining, that uses the collaboration of several LLMs, namely Gemini, GPT-4o, and Claude-3.5 Sonnet, to collaborate and iteratively enhance tests. We began by testing a single LLM writing unit tests, but after noting their suboptimal performance, we explored LLM chaining as a method to enhance the accuracy and coverage of the produced tests. Gemini and GPT-4o yielded the most reliable results of all the configurations we tested. Under this configuration, the LLM system uses Gemini to generate the initial JUnit tests, then sends the generated results to GPT-4o to improve accuracy. The HumanEval dataset was used to create JUnit test cases for this study. JaCoCo is used to collect coverage statistics, and PIT is used for mutation-based testing to measure an LLM’s ability to detect faults in tests. Our approach achieved 99.05% branch coverage, 90.48% line coverage, and 94.32% mutation coverage. In contrast, Randoop, a well-known automated test generation tool, obtained 68.64% branch coverage and 78.84% line coverage. This demonstrates how multi-step LLM refinement works well to advance automated test generation.","2169-3536","","10.1109/ACCESS.2025.3637221","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11269709","Software testing;unit testing;LLM;Gemini;GPT-4o;Claude-3.5 Sonnet;LLM chaining;JUnit;JaCoCo","Test pattern generators;Software;Codes;Software testing;Reliability;Writing;Manuals;Large language models;Software development management;Software reliability","","","","38","CCBY","26 Nov 2025","2025","","IEEE","IEEE Journals"
"Test Wars: A Comparative Study of SBST, Symbolic Execution, and LLM-Based Approaches to Unit Test Generation","A. Abdullin; P. Derakhshanfar; A. Panichella","JetBrains Research, TV Delft, Amsterdam, The Netherlands; JetBrains Research, Amsterdam, The Netherlands; TU Delft, Delft, The Netherlands","2025 IEEE Conference on Software Testing, Verification and Validation (ICST)","20 May 2025","2025","","","221","232","Generating tests automatically is a key and ongoing area of focus in software engineering research. The emergence of Large Language Models (LLMs) has opened up new op-portunities, given their ability to perform a wide spectrum of tasks. However, the effectiveness of LLM -based approaches compared to traditional techniques such as search-based software testing (SBST) and symbolic execution remains uncertain. In this paper, we perform an extensive study of automatic test generation approaches based on three tools: EvoSuite for SBST, Kex for symbolic execution, and TestSpark for LLM-based test generation. We evaluate tools' performance on the GitBug Java dataset and compare them using various execution-based and feature-based metrics. Our results show that while LLM-based test generation is promising, it falls behind traditional methods w.r.t. coverage. However, it significantly outperforms them in mutation scores, suggesting that LLMs provide a deeper semantic understanding of code. LLM-based approach performed worse than SBST and symbolic execution-based approaches w.r.t. fault detection capabilities. Additionally, our feature-based analysis shows that all tools are affected by the complexity and internal dependencies of the class under test (CUT), with LLM-based approaches being especially sensitive to the CUT size.","2159-4848","979-8-3315-0814-2","10.1109/ICST62969.2025.10989033","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10989033","automatic test generation;symbolic execution;concolic testing;large language models;search-based software testing","Software testing;Measurement;Java;Codes;Large language models;Fault detection;Semantics;Computer bugs;Test pattern generators;Software engineering","","2","","62","IEEE","20 May 2025","31 March-4 April 2025","31 March-4 April 2025","IEEE","IEEE Conferences"
"MAGISTER: LLM-Based Test Generation with Role-Specialized Agents","A. Ahammad; M. El Bajta; M. Radgui","SI2M Laboratory, National Institute of Statistics and Applied Economics, Rabat, Morocco; SI2M Laboratory, National Institute of Statistics and Applied Economics, Rabat, Morocco; SI2M Laboratory, National Institute of Statistics and Applied Economics, Rabat, Morocco",2025 International Conference on Intelligent Systems: Theories and Applications (SITA),"9 Dec 2025","2025","","","1","7","Automated test generation is one of the most critical topics in software testing, with numerous challenges due to the need for deep code understanding and the creation of meaningful assertions. Traditional approaches often generate low-quality and difficult-to-read tests that lack real code understanding and rely on statistical and dynamic analysis. With the recent advances in Large Language Models (LLMs), new opportunities emerge for generating unit tests that prioritize readability and context understanding. In this paper, we introduce MAGISTER, a multiagent framework for LLM-based unit test generation, where each agent (Analyzer Agent, Test Generation Agent, Executor Agent, and Refiner Agent) specializes in a specific role within the framework workflow, which involves analyzing the codebase to identify testable units and generating test code with feedbackdriven refinement. We evaluated MAGISTER on five open-source Python projects, demonstrating a significant improvement in code coverage for modular codebases compared to the original userwritten tests. However, it still has limitations when handling large and complex projects requiring domain-specific knowledge. Our results demonstrate the promising potential of LLM-driven and agent-based architectures in advancing test automation while highlighting directions for future improvement.","","979-8-3315-5989-2","10.1109/SITA67914.2025.11273637","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11273637","Automated Test Generation;Large Language Models;Multi-Agent Systems;Unit Testing;LLM-based Testing","Software testing;Codes;Automation;Large language models;Manuals;Software reliability;Test pattern generators;Logic;Python;Multi-agent systems","","","","39","IEEE","9 Dec 2025","20-21 Oct. 2025","20-21 Oct. 2025","IEEE","IEEE Conferences"
"RLHavoc:Enhanced Historical Data Orientation Enhances Code Coverage","S. Zhang; C. Liao; R. Liu","School of Computer Science and Engineering, University of Electronic Science and Technology of China, ChengDu, China; School of Computer Science and Engineering, University of Electronic Science and Technology of China, ChengDu, China; School of Computer Science and Engineering, University of Electronic Science and Technology of China, ChengDu, China",2023 8th International Conference on Signal and Image Processing (ICSIP),"9 Oct 2023","2023","","","1079","1084","Fuzzing is a common method in software test engineering, which tries to trigger potential vulnerabilities in the target program by continuously providing modified input to the test target. The traditional fuzzy test tools are white box test, gray box test, black box test. The mutation strategies used in these traditional testing tools have high randomness. As a result, the traditional test methods have high randomness in the selection of strategic actions, so effective strategic actions maybe be ignored. Aiming at improving the coverage rate of fuzzy test code based on variation, we implement RLHavoc to improve the efficiency of American fuzzy lop(AFL) based on Deep Q Network(DQN) algorithm by using DQN to prioritize the generation of test cases in AFL. RLHavoc combines AFL’s Havoc phase mutation strategy with DQN algorithm. DQN algorithm takes advantage of AFL’s Havoc strategy to conduct grey box testing for different binaries and use comprehensive historical data to guide the action selection of variation strategies in the fuzzy test vulnerability detection process, taking seeds as state and new the number of unique execution paths as reward, which enhances the action space orientation of the secondary fuzz target binaries, thus improving the code coverage. Compared to the traditional AFL fuzz effect, our experimental results show that the code coverage rate is improved by about 3%.","","979-8-3503-9793-2","10.1109/ICSIP57908.2023.10271090","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10271090","Havoc;DQN;Comprehensive Historical Data;Code Coverage","Training;Codes;Image processing;Closed box;Fuzzing;Testing;Glass box","","1","","22","IEEE","9 Oct 2023","8-10 July 2023","8-10 July 2023","IEEE","IEEE Conferences"
